Produce,Qty,Price
"Almonds",1,9.847735808065018
"Apple",2,8.817045052435095
"Apple",9,8.069344079612677
"Oranges",3,6.752353384550342
"Apple",4,8.295843727739298
"Grapes",6,2.9478128694219583
"Apple",9,8.356357128244907
"Apple",8,1.5326054084342575
"Almonds",4,8.883667631265567
"Almonds",1,2.2175258549605883
"Walnuts",5,8.817777814712016
"Pears",1,5.014318096637743
"Almonds",3,5.100668051463732
"Pears",5,9.040873772073251
"Almonds",3,4.228208125929523
"Pears",3,7.4030933931397485
"Oranges",9,2.9992885192710887
"Almonds",7,9.24865434849617
"Almonds",4,6.282872212655476
"Oranges",6,7.227833879679829
"Almonds",7,5.73809089099922
"Walnuts",4,9.907735623589321
"Grapes",1,9.573240456197869
"Walnuts",9,7.194006504957262
"Apple",8,4.660300719684247
"Pears",7,4.960911817440636
"Apple",3,8.903814369628947
"Apple",4,9.95908113087357
"Pears",1,1.9783887129987727
"Apple",1,1.7449481026567888
"Oranges",8,2.3364943530676987
"Almonds",2,7.940138762755523
"Oranges",10,2.5450363651014345
"Apple",6,1.910600363333859
"Oranges",3,5.845913836204021
"Grapes",5,6.495024712074475
"Almonds",5,4.1928879281664955
"Almonds",4,4.673764755892956
"Almonds",1,8.445639625645871
"Apple",8,4.83973028449182
"Apple",4,7.658876595133034
"Pears",10,8.784520642716682
"Pears",9,4.635691588723608
"Apple",5,4.2018925722271
"Grapes",5,9.86496126673262
"Oranges",10,8.048340998327014
"Apple",8,2.4630847832950913
"Apple",2,5.111378509174388
"Grapes",8,6.458919529027874
"Apple",7,7.577955700399875
"Walnuts",10,9.976806693221118
"Grapes",7,5.579875848870554
"Pears",9,8.650092367819141
"Oranges",4,3.6144174014595714
"Grapes",1,4.801749294349314
"Grapes",4,2.5347441318650423
"Grapes",1,6.71981371435115
"Almonds",1,4.516913474933857
"Pears",10,3.6033015770590393
"Oranges",10,7.693141841575134
"Apple",3,4.827485822640639
"Almonds",5,3.0929988377327735
"Pears",5,6.359659698729058
"Walnuts",1,3.9810004361263545
"Oranges",10,1.6519629895147638
"Pears",2,3.2886414566346063
"Walnuts",1,2.3169315019122485
"Walnuts",8,2.494060411906773
"Apple",3,6.098891277132094
"Grapes",5,6.50859011216162
"Oranges",6,2.107813206418598
"Almonds",9,6.231159718888373
"Pears",6,4.89362461508027
"Apple",4,8.692149842250242
"Walnuts",4,4.005892087313834
"Oranges",9,2.4027230782658524
"Oranges",8,8.709836226931365
"Grapes",10,3.3088399660634327
"Almonds",3,4.043990485397373
"Apple",2,9.723076566404293
"Oranges",3,6.917065568911404
"Walnuts",2,3.4177767090093587
"Almonds",7,5.101310040775468
"Oranges",5,5.691820434174166
"Apple",8,5.985290971307629
"Pears",9,8.958550834896133
"Almonds",1,2.8795148441129856
"Almonds",2,8.250775713238745
"Apple",8,3.9541751946780503
"Almonds",1,6.742700142524077
"Oranges",4,9.156786603322056
"Walnuts",4,9.993261024493368
"Almonds",7,6.434041874062436
"Pears",10,9.543744979248883
"Oranges",10,4.308343524513191
"Apple",9,2.688619121291816
"Grapes",4,5.783985720265107
"Walnuts",9,5.60929627111123
"Pears",1,2.761007654724727
"Pears",1,6.287469363570464
"Grapes",8,7.557574681848529
"Oranges",1,7.433653057099615
"Apple",2,3.189277726146223
"Pears",6,4.4317029026587065
"Almonds",3,6.383871371580899
"Pears",6,3.0612877373224725
"Walnuts",8,4.911092751059536
"Pears",6,7.023247529645347
"Almonds",7,8.797053406277916
"Pears",9,2.6349295017599212
"Oranges",9,3.1273348103523593
"Pears",2,9.867433464567776
"Pears",8,4.066264187529011
"Grapes",8,9.384345896106185
"Apple",8,4.667428927424859
"Apple",1,5.248061761853912
"Almonds",4,4.77099674165291
"Grapes",7,2.941215287738117
"Walnuts",7,9.66007940992059
"Oranges",9,8.238274250220236
"Walnuts",7,2.035312594061105
"Apple",1,7.216521133615921
"Pears",6,9.150875183373131
"Apple",3,2.9953079818730988
"Walnuts",10,9.85727965013005
"Apple",1,9.154552396516921
"Almonds",4,3.039810981739005
"Grapes",7,5.501412427188393
"Grapes",8,6.215289022044818
"Almonds",10,9.453644982531914
"Walnuts",3,5.212986557310427
"Grapes",9,2.9932428580299737
"Apple",6,3.146331550546052
"Oranges",10,3.777856247472593
"Apple",6,9.442067815722371
"Grapes",3,2.248763495055478
"Oranges",5,4.088877790686566
"Grapes",7,7.924822066236521
"Oranges",7,2.4681010321369174
"Apple",6,8.402825884708472
"Oranges",7,1.5949448227417498
"Oranges",6,3.6242626245696847
"Apple",4,4.434760508317964
"Walnuts",6,9.376564283745289
"Grapes",9,5.021107036034662
"Walnuts",10,2.9087564243504405
"Walnuts",1,3.602536546953387
"Almonds",9,4.445642878503355
"Apple",7,5.052463231904978
"Oranges",2,4.832115013392298
"Almonds",9,3.4025351118461504
"Almonds",2,5.139923894759509
"Walnuts",2,4.1229293794351065
"Grapes",8,2.0699182754820016
"Grapes",10,4.500877211130467
"Pears",2,2.935760811717342
"Apple",4,2.418635220742691
"Walnuts",8,7.212798777285664
"Almonds",5,4.695010647173373
"Grapes",1,9.712680329811924
"Walnuts",4,2.6945231071303204
"Oranges",9,7.26717973960267
"Pears",4,3.2540762718221288
"Almonds",7,5.691843311840087
"Walnuts",3,6.2419084920647565
"Grapes",1,6.299503110155329
"Oranges",2,4.8947451205158945
"Oranges",2,1.9932292179956548
"Pears",7,7.299993328400905
"Almonds",5,3.0351961130357052
"Oranges",10,6.419997817759111
"Grapes",3,5.802460783692742
"Pears",10,2.693284845996264
"Oranges",9,3.611174044190225
"Oranges",9,5.665479213651135
"Pears",9,1.8350464646238054
"Oranges",4,6.812006788409536
"Apple",8,5.717245970528144
"Pears",6,2.0223502130046773
"Walnuts",8,3.0467472264605275
"Pears",7,6.896963090693532
"Grapes",8,1.6954897531315931
"Grapes",3,4.414128512078455
"Apple",5,8.395930310192568
"Apple",1,8.110455849038622
"Grapes",4,8.785013440671388
"Almonds",8,5.2950135147375335
"Almonds",5,2.1031274101796074
"Pears",10,6.191163938574267
"Oranges",2,1.8752273486802593
"Grapes",8,6.014230638792876
"Grapes",5,6.067638466054313
"Apple",5,5.800566027763033
"Grapes",10,5.24343534081216
"Pears",2,3.361629003263266
"Apple",2,7.623117252575956
"Walnuts",3,7.143984296255828
"Apple",7,5.810268115141727
"Apple",1,2.4357773863093852
"Pears",4,6.014087569648892
"Apple",7,3.6388325072442997
"Walnuts",5,4.564556289300217
"Walnuts",6,5.417849197952198
"Almonds",8,9.697058968165376
"Apple",1,7.946399585467084
"Apple",4,7.573694567200644
"Almonds",8,7.768536456491911
"Almonds",5,9.39029038429058
"Walnuts",1,8.282822176876453
"Apple",8,3.0516070980145535
"Grapes",7,7.427851654330689
"Almonds",2,4.410291545798125
"Almonds",3,6.979489318819207
"Grapes",4,2.7411426064647335
"Apple",6,2.754314046682933
"Almonds",8,2.038210968927437
"Walnuts",9,8.998798294875357
"Apple",4,5.573419911122401
"Grapes",2,2.741963375261865
"Apple",3,5.735301937562986
"Apple",8,5.452008236358273
"Walnuts",3,5.401120378463164
"Almonds",6,4.170199746799598
"Walnuts",5,2.985010398558517
"Pears",5,3.370400656043895
"Walnuts",4,4.94927333374351
"Apple",1,7.192871730118174
"Apple",8,9.102942262522603
"Pears",7,8.529943702522118
"Apple",8,5.147629189233795
"Pears",10,7.144957665394283
"Pears",3,9.307741871941534
"Oranges",4,2.369605001030321
"Pears",5,7.970093785464835
"Almonds",10,9.045359401905067
"Apple",4,8.85323967916464
"Walnuts",8,3.7193389807429114
"Almonds",8,5.298399802049856
"Apple",10,7.246700935974473
"Oranges",4,3.5823180362382048
"Pears",5,4.246713196793347
"Oranges",9,7.347955414912005
"Pears",8,6.143894293038166
"Walnuts",8,4.659659417774613
"Almonds",5,6.529182408767544
"Grapes",6,5.0158209744245035
"Oranges",8,7.8231406597633555
"Oranges",2,3.4297252147499444
"Almonds",6,4.51462682468743
"Pears",10,8.884294051081426
"Almonds",2,3.847016807720009
"Oranges",5,9.397096764377114
"Apple",1,4.721758096362939
"Grapes",4,7.557144639392832
"Walnuts",10,8.945395278182705
"Grapes",10,1.6237594736488772
"Apple",10,6.290264646233422
"Almonds",10,5.630963049408612
"Pears",4,7.744685199729141
"Pears",8,7.883577765997899
"Apple",1,4.568968830410505
"Grapes",4,2.419325953522514
"Apple",4,4.281185963027879
"Walnuts",6,4.696180397360933
"Apple",8,5.837510079503901
"Pears",6,7.666927354220838
"Grapes",8,4.1533841451400715
"Oranges",3,2.0935080319965422
"Grapes",3,9.191567546864551
"Walnuts",6,9.047494174075505
"Pears",6,8.69133157516173
"Pears",3,7.669327008582119
"Almonds",7,6.887845931767175
"Grapes",7,1.8693794066213427
"Apple",5,4.905370757462245
"Walnuts",5,7.800270739124818
"Walnuts",4,9.99562063625242
"Pears",2,7.540125855930275
"Oranges",4,8.724918696437879
"Oranges",6,5.3927144326610925
"Almonds",7,9.438509669050006
"Oranges",7,3.9943449277190664
"Walnuts",9,2.960310870675239
"Pears",1,2.0707274265343396
"Almonds",5,7.454287741724343
"Walnuts",2,4.294707090901011
"Grapes",2,2.2430285659074087
"Almonds",10,3.5813563175185332
"Walnuts",3,8.605240437337805
"Apple",6,4.07289240332919
"Almonds",7,9.296517136472676
"Almonds",3,8.17172825488996
"Walnuts",9,6.2872781195716785
"Oranges",2,1.7570285054044044
"Grapes",7,4.948854904684499
"Almonds",1,2.239533867981525
"Oranges",8,3.6586394336820787
"Pears",5,3.8672451963035175
"Grapes",3,5.434021876048646
"Walnuts",6,9.396371598720933
"Apple",4,2.5202581661467827
"Pears",10,4.030847599908557
"Oranges",6,2.014144472104581
"Oranges",6,6.245320574513216
"Apple",2,4.914056479054322
"Pears",4,7.631412087065173
"Pears",1,7.488878710519546
"Almonds",3,3.1389520982087658
"Apple",2,8.372768008897149
"Pears",2,7.964634432897689
"Almonds",2,9.291547946642224
"Pears",1,5.686490600062238
"Grapes",7,2.6550806073331614
"Walnuts",5,8.707199670349947
"Walnuts",3,6.685755049554747
"Pears",4,6.520820092792715
"Walnuts",8,3.0741418481124563
"Walnuts",7,8.83970533452685
"Pears",6,9.375783095162973
"Pears",3,1.9045340991622428
"Apple",10,3.170878811845194
"Apple",8,8.809793211393576
"Pears",1,3.7075527719717156
"Pears",2,5.760485323357969
"Apple",5,7.921899291963634
"Oranges",4,9.123168501990294
"Almonds",1,2.508939020989121
"Oranges",6,2.2667058830510562
"Walnuts",3,8.21801289212787
"Walnuts",2,3.7692239861406382
"Pears",2,1.9374331351015308
"Pears",5,1.9306784628101614
"Walnuts",2,8.01111044407152
"Almonds",3,7.392141677386169
"Walnuts",4,2.9815427546054725
"Walnuts",9,3.197749074352921
"Pears",5,2.9439405373481855
"Grapes",10,3.136321193800625
"Grapes",1,4.784930996556674
"Walnuts",2,9.237150420208316
"Walnuts",8,3.9179432016380895
"Grapes",10,4.500392364881835
"Almonds",2,9.813819268383567
"Almonds",4,6.392848565473467
"Almonds",9,6.1079064620585095
"Grapes",9,2.689825298610431
"Oranges",9,4.4592608761651045
"Pears",7,9.450256415538066
"Grapes",9,9.634652904189284
"Walnuts",4,5.197347753632503
"Walnuts",10,8.205936199054971
"Grapes",1,4.499821167021439
"Apple",3,5.256285122800774
"Almonds",4,8.116612157625596
"Walnuts",10,5.605153838563118
"Pears",7,3.9465895585806363
"Walnuts",8,8.546352548348665
"Grapes",2,2.548914173171564
"Almonds",3,6.75031929049518
"Pears",6,2.853705907861992
"Apple",9,7.763198211597151
"Grapes",2,5.884544429680669
"Almonds",5,7.948211786048803
"Walnuts",5,4.671878486330516
"Almonds",7,6.3714532767809935
"Almonds",2,1.7029286666699364
"Apple",7,7.793179261090214
"Apple",6,2.230096080862788
"Grapes",5,8.821861642092895
"Pears",8,8.626070867579134
"Oranges",3,8.52034566590617
"Almonds",10,7.552406920170401
"Apple",6,4.469165472285088
"Walnuts",6,2.4646244991419524
"Apple",7,8.824859820509815
"Almonds",9,8.62637710218576
"Walnuts",5,7.606972098617288
"Grapes",7,5.16491611156543
"Pears",3,7.433575428674024
"Almonds",7,7.814999943318771
"Oranges",7,1.9747879093321834
"Pears",4,3.037565728109144
"Grapes",2,9.444657541581211
"Apple",2,9.56843588216488
"Walnuts",2,8.184318889894506
"Grapes",4,7.967959727031172
"Almonds",3,6.817129843949131
"Walnuts",10,7.775618951426751
"Apple",3,4.85700989346751
"Walnuts",5,5.223692320857619
"Grapes",5,5.634868490467666
"Walnuts",3,9.918017741082737
"Apple",2,2.919447507093787
"Oranges",6,3.2136433612519446
"Oranges",6,5.754008215701594
"Oranges",7,8.142735158603351
"Pears",8,7.248779924632421
"Walnuts",9,4.6833041286894215
"Grapes",6,1.7202876276112646
"Oranges",10,3.849018918037967
"Oranges",8,9.727338554616905
"Walnuts",9,5.414564619730813
"Oranges",6,2.800759340067666
"Apple",4,3.691562393504632
"Oranges",3,5.959031789952685
"Pears",1,4.816360620341127
"Pears",10,7.44178153641966
"Oranges",3,2.8721449685799865
"Walnuts",5,4.9220579588392805
"Apple",8,9.274110985986368
"Apple",1,3.7900350136023864
"Almonds",8,9.473358242722583
"Oranges",2,3.4326061453186547
"Pears",10,2.9432908038718617
"Grapes",5,1.5454073591257806
"Walnuts",6,1.9057639233976653
"Oranges",4,6.778082790656964
"Oranges",10,8.077571003593807
"Oranges",1,5.360810629661769
"Walnuts",6,7.32222105038369
"Apple",3,5.795155557005852
"Apple",2,7.418898260849363
"Grapes",5,6.519549363518792
"Oranges",4,5.229803477499189
"Pears",8,8.779443551425832
"Walnuts",2,9.920166930244903
"Apple",8,7.650106193852745
"Pears",2,3.5603813944447458
"Walnuts",10,6.384529216218885
"Walnuts",9,9.039545086831044
"Walnuts",1,2.639075933398662
"Pears",6,3.475439624324627
"Pears",1,5.702654085365645
"Apple",5,8.608904256777887
"Walnuts",5,2.0568281836027635
"Almonds",6,7.971865440460586
"Apple",1,5.0510154710179815
"Almonds",4,1.7582037228022516
"Walnuts",6,9.125857738212494
"Apple",6,4.303985774951402
"Grapes",10,9.414503182776158
"Pears",7,3.8546005125461416
"Apple",4,2.7975414221638397
"Grapes",8,8.148647645701168
"Pears",10,5.261019968769281
"Grapes",10,1.7195144152565989
"Oranges",3,3.7639289325778837
"Almonds",10,9.076528549732586
"Almonds",4,1.9088144338459552
"Apple",1,5.003981733127118
"Walnuts",9,7.634327072285915
"Apple",1,7.414574320212914
"Oranges",9,2.8772787466431526
"Pears",1,6.968127955773852
"Walnuts",1,4.0075066233682834
"Oranges",6,5.772399377207237
"Oranges",3,5.789844270557054
"Grapes",9,5.321844411898738
"Apple",1,3.8627780448803426
"Grapes",5,6.811320865859677
"Pears",10,3.7083376796964314
"Oranges",8,6.4771859843456845
"Grapes",4,3.712483050705107
"Apple",5,5.516654370512018
"Pears",9,3.6387769439331032
"Apple",9,8.043023689273246
"Oranges",9,9.605532348605028
"Oranges",8,5.632844296307703
"Grapes",6,6.601926936744319
"Walnuts",9,2.5321536631224406
"Walnuts",3,6.038304333578675
"Almonds",1,8.009501104613099
"Grapes",8,6.817278928812585
"Almonds",7,5.42157407506887
"Grapes",8,9.680320011221715
"Oranges",10,3.0372487995296162
"Almonds",2,9.15031599582145
"Almonds",9,3.721152602315625
"Almonds",2,5.303086769189037
"Apple",5,9.645433867861843
"Grapes",9,5.9970600783026855
"Walnuts",3,3.5946242242848965
"Grapes",4,8.422377005631683
"Grapes",3,2.1757355470383097
"Pears",10,7.789281427966184
"Apple",10,3.1957052075497447
"Apple",4,2.0783895191774993
"Pears",10,8.745367212411386
"Almonds",7,9.392820808397698
"Pears",9,5.332049718487617
"Pears",5,8.700886486618892
"Walnuts",5,3.017306157321113
"Pears",10,4.622887258722759
"Pears",6,1.7760727285286593
"Oranges",6,1.9277278293747337
"Oranges",7,6.461188468779448
"Pears",7,7.6020470474231026
"Grapes",2,4.473278519411654
"Almonds",5,3.1579435417499138
"Pears",2,4.843158151350346
